2018-12-11 19:47:50 [main] INFO  Main -info
2018-12-11 20:03:50 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -receive textWebSocketFrame from channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332] , 目前一共有2个在线
2018-12-11 20:03:50 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -消息已发送给[id: 0x8d2ff436, L:/192.168.3.222:9999 - R:/192.168.3.222:59331]
2018-12-11 20:03:50 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -write text: TextWebSocketFrame(data: UnpooledUnsafeHeapByteBuf(ridx: 0, widx: 2, cap: 6)) to channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:03:50 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -消息已发送给[id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:03:50 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -write text: TextWebSocketFrame(data: UnpooledUnsafeHeapByteBuf(freed)) to channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:04:04 [nioEventLoopGroup-3-1] INFO  com.cyy.demo.Server.WebSocketServer -receive textWebSocketFrame from channel: [id: 0x8d2ff436, L:/192.168.3.222:9999 - R:/192.168.3.222:59331] , 目前一共有2个在线
2018-12-11 20:04:04 [nioEventLoopGroup-3-1] INFO  com.cyy.demo.Server.WebSocketServer -消息已发送给[id: 0x8d2ff436, L:/192.168.3.222:9999 - R:/192.168.3.222:59331]
2018-12-11 20:04:04 [nioEventLoopGroup-3-1] INFO  com.cyy.demo.Server.WebSocketServer -write text: TextWebSocketFrame(data: UnpooledUnsafeHeapByteBuf(freed)) to channel: [id: 0x8d2ff436, L:/192.168.3.222:9999 - R:/192.168.3.222:59331]
2018-12-11 20:04:04 [nioEventLoopGroup-3-1] INFO  com.cyy.demo.Server.WebSocketServer -channel close future  AbstractChannel$CloseFuture@176c74d1(success)
2018-12-11 20:04:04 [nioEventLoopGroup-3-1] INFO  com.cyy.demo.handler.WebSocketServerHandler -异常信息：refCnt: 0
2018-12-11 20:04:08 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -receive textWebSocketFrame from channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332] , 目前一共有1个在线
2018-12-11 20:04:08 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -消息已发送给[id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:04:08 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -write text: TextWebSocketFrame(data: UnpooledUnsafeHeapByteBuf(freed)) to channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:04:10 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -receive textWebSocketFrame from channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332] , 目前一共有1个在线
2018-12-11 20:04:10 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -消息已发送给[id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:04:10 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -write text: TextWebSocketFrame(data: UnpooledUnsafeHeapByteBuf(freed)) to channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:04:16 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -receive closeWebSocketFrame from channel: [id: 0xd5799a96, L:/192.168.3.222:9999 - R:/192.168.3.222:59332]
2018-12-11 20:04:16 [nioEventLoopGroup-3-2] INFO  com.cyy.demo.Server.WebSocketServer -channel close future  AbstractChannel$CloseFuture@639db954(success)
